Builder,Pedal,Type
1981 Inventions,DRV,Distortion
1981 Inventions,DRV2,Distortion
1981 Inventions,DRV MOD 1,Distortion
1981 Inventions,DRV MOD 2,Distortion
1981 Inventions,DRV MOD 1 (WHITE),Distortion
1981 Inventions,DRV MOD 2 HYPERFADE,Distortion
1981 Inventions,LVL,Overdrive
1981 Inventions,Forget and Not Slow Down LVL,Overdrive
Aclam Guitars,Dr. Robert,Distortion
Aclam Guitars,Go Rocky Go,Distortion
Aclam Guitars,Go Rocky Go,Overdrive
Aclam Guitars,Go Rocky Go,Fuzz
Aclam Guitars,Go Rocky Go - White Album Edition,Distortion
Aclam Guitars,Go Rocky Go - White Album Edition,Overdrive
Aclam Guitars,Go Rocky Go - White Album Edition,Fuzz
Aclam Guitars,The Mocker,Fuzz
Aclam Guitars,Cinnamon Drive,Overdrive
Aclam Guitars,Cinnamon Drive,Distortion
Aclam Guitars,Cinnamon Drive - Dreamer Edition,Overdrive
Aclam Guitars,Cinnamon Drive - Dreamer Edition,Distortion
Aclam Guitars,The Woman Tone,Overdrive
Aclam Guitars,The Windmiller Preamp,Overdrive
Animals Pedal,ANGEL BEAR FACE FUZZ,Fuzz
Animals Pedal,FISHING IS AS FUN AS FUZZ,Fuzz
Animals Pedal,FISHING IS AS FUN AS FUZZ LIMITED EDITION,Fuzz
Animals Pedal,In Oct,3 Foxes talking of dreamy FUZZ,Fuzz
Animals Pedal,Sunday Afternoon Is Infinity Bender,Fuzz
Animals Pedal,Rust Rod Fuzz,Fuzz
Animals Pedal,Rover Fuzz,Fuzz
Animals Pedal,Surfing Bear Overdrive,Overdrive
Animals Pedal,SURFING POLAR BEAR BASS OVERDRIVE MOD BY BJF,Overdrive
Animals Pedal,Vintage Van Driving is Very Fun,Overdrive
Animals Pedal,Major Overdrive,Overdrive
Animals Pedal,Diamond Peak Hybrid Over Drive,Overdrive
Animals Pedal,PUSH & PULL DISTORTION,Distortion
Animals Pedal,PUSH & PULL DISTORTION LIMITED EDITION,Distortion
Animals Pedal,PUSH & PULL DISTORTION LIMITED EDITION C,Distortion
Animals Pedal,Tioga Road Cycling Distortion,Distortion
Animals Pedal,I Was A Wolf In The Forest Distortion,Distortion
Anasounds,savage,Overdrive
Anasounds,cerberus,Overdrive
Anasounds,high voltage,Overdrive
Anasounds,ego driver,Overdrive
Anasounds,sandman,Overdrive
Anasounds,bitoun fuzz,Fuzz
Anasounds,feed me mk3,Fuzz
Anasounds,full story,Fuzz
Anasounds,full story,Distortion
CopperSound Pedals,Ion Warped Fuzz,Fuzz
CopperSound Pedals,Foxcatcher V1 Overdrive & Boost,Overdrive
CopperSound Pedals,Foxcatcher V2 Overdrive,Overdrive
CopperSound Pedals,Strategy Overdrive & Preamp,Overdrive
CopperSound Pedals,Kingpin Germanium Clipper,Overdrive
CopperSound Pedals,Renegade Multi-Bias Fuzz,Fuzz
CopperSound Pedals,Mystique Germanium Fuzz & Boost (Limited Edition),Fuzz
Alexander Pedals,Jubilee Silver Overdrive,Overdrive
Alexander Pedals,Hot Pink Drive,Overdrive
Alexander Pedals,Magnolia Vintage Overdrive,Overdrive
Alexander Pedals,Royal Cream,Overdrive
Alexander Pedals,Princess Clang,Overdrive
Alexander Pedals,Princess Clang,Distortion
Alexander Pedals,Clang Championship Edition,Overdrive
Alexander Pedals,Clang Championship Edition,Distortion
