Builder,Pedal,Type
C.I.C,MOD-7 Overdrive,Overdrive
C14 Devices,Tone Chaser,Overdrive
C.Q.O.,Super Distortion,Distortion
Cactus,OVD-5 Overdrive,Overdrive
Cajita Stompboxes,Fuzz Womut,Fuzz
Cajita Stompboxes,Fuzz RBmuff - TBmuff,Fuzz
Cajita Stompboxes,Distorsión RAT 6 6 modos,Distortion
Cajita Stompboxes,Distorsión Marshall CR800 JCM + booster,Distortion
Cajita Stompboxes,TS09 TS08 Overdrive Tube Screamer,Overdrive
Cajita Stompboxes,Preamp 5150 tipo Peavey,Distortion
Cajita Stompboxes,Dr Boogie VN Hi Gain Mesa Boogie,Distortion
Cajita Stompboxes,Dr Boogie Distorsion Hi Gain Mesa,Distortion
Cajita Stompboxes,FBASSDRIVE,Overdrive
Cajita Stompboxes,Bdi.ts with Overdrive,Overdrive
Cajita Stompboxes,BRIT30 preamplificador tipo Vox AC30 overdrive,Overdrive
Cajita Stompboxes,Overdrive Shoc más booster,Overdrive
Cajita Stompboxes,Preamp Overdrive Matchbox,Overdrive
Cajita Stompboxes,Overdrive Bb.pre,Overdrive
Cajita Stompboxes,VMT Distorsion de Bajo con Blend,Distortion
Calangary Pedals,Kalagondang Fuzz,Fuzz
Calangary Pedals,Zaladin Fuzz,Fuzz
California (by Eleca),COD-1 Over Drive,Overdrive
California (by Eleca),CDT-1 Distortion,Distortion
California (by Eleca),CHM-1 Heavy Metal,Distortion
California Valveworks,The Bone Tender,Fuzz
Caline,CP-11 Puffer Fuzz,Fuzz
Caline,CP-12 Pure Sky,Overdrive
Caline,CP-15 Tantrum / Heavy Metal,Distortion
Caline,CP-18 Orange Burst / Overdrive,Overdrive
Caline,CP-20 Crazy Cacti,Overdrive
Caline,CP-21 Rock Face,Distortion
Caline,CP-25 Highway Man OD,Overdrive
Caline,CP-27 Sand Storm,Distortion
Caline,CP-30 Red Devil - Heavy Metal,Distortion
Caline,CP-32 Clear Veil,Overdrive
Caline,CP-32 Clear Veil,Fuzz
Caline,CP-34 Headroom - Vintage Distortion,Distortion
Caline,CP-42 Candy Floss Fuzz,Fuzz
Caline,CP-43 Pegasus,Overdrive
Caline,CP-46 Fuzzy Bear,Fuzz
Caline,CP-49 Midlander,Overdrive
Caline,CP-50 Central Station / Leon Drive,Overdrive
